Verstapost,No.,Requirement,Done (+),Status,Completion,Priority,Evidence 1,Evidence 2,Evidence 3,Evidence 4,Evidence 5,Notes / remaining work
Verstapost 1,1,Select and describe project concept,+,closed,Done,OK,V1_specification.md,Versta1.png,,,,none
Verstapost 1,2,Define architecture and main subsystems,+,closed,Done,OK,V1_specification.md,system_block.drawio.png,,,,none
Verstapost 1,3,Explain deviation from original Android-phone brief,+,closed,Done,OK,V1_specification.md,TECH_COMPARISON.md,,,,none
Verstapost 1,4,Functional requirements and priorities,+,closed,Done,OK,V1_specification.md,,,,,none
Verstapost 1,5,Performance targets,+,closed,Done,OK,V1_specification.md,,,,,later compare with final tests
Verstapost 1,6,BOM with procurement status,+,closed,Done,OK,BOM.csv,Order1.png,Order2.png,,,final release BOM still needs exact sources for all actual build parts
Verstapost 1,7,Power architecture,+,closed,Done,OK,power_scheme.md,power_tree.drawio.png,power_brownout_test.csv,,,direct current measurement and camera-aware brownout retest still needed
Verstapost 1,8,Testing plan,+,closed,Done,OK,test_plan.md,,,,,keep updated as measurements are added
Verstapost 1,9,Design evidence,+,closed,Done,OK,hardware/cad/ver1,hardware/pcb/README.md,main,cam,,none for V1
Verstapost 1,10,Comparative/tradeoff analysis,+,closed,Done,OK,TECH_COMPARISON.md,Vordlev_analyys_summary.md,Vordlev_analyys.docx,,,update if the architecture changes
Verstapost 2,1,Demonstrate control chain from browser to motors,+,closed,Done,OK,main firmware,web UI,motion logic,,,none
Verstapost 2,2,Robot Wi-Fi AP and web server,+,closed,Done,OK,main firmware,web handlers,,,,none
Verstapost 2,3,Manual movement commands,+,closed,Done,OK,main UI,movement_speed_test.csv,,,,motor trim can be improved
Verstapost 2,4,Speed/drift/turn measurements,+,closed,Done,OK,movement_speed_test.csv,movement_drift_test.csv,movement_turn_test.csv,tof_stop_test.csv,,none
Verstapost 2,5,HTTP latency measurement,+,closed,Done,OK,http_latency_analysis.ipynb,latency_test_result.md,test_results_analysis.ipynb,,,update after new latency runs
Verstapost 2,6,Camera stream evidence,+,closed,Done,OK,camera firmware,demo video,,,,add newer demo video if available
Verstapost 2,7,ToF integration,+,closed,Done,OK,main firmware,tof_stop_test.csv,tof_accuracy_test.csv,tof_accuracy_collect.py,ToF calibration note,Offset measured and documented; correction model valid for 50-300 mm short/medium obstacle logic; retest after final mounting.
Verstapost 2,8,PCB evidence,+,closed,Complete,Done,hardware/pcb/README.md,PCB evidence check,,,Latest Gerber/drill archive 2026-06-17,"Closed: schematic/layout PNG+JSON, 3D PCB screenshot, and latest 2026-06-17 Gerber/drill manufacturing archive are present. DRC screenshot remains optional production evidence."
Verstapost 2,9,Power robustness,+,closed,Complete,Done,power_brownout_test.csv,power_brownout_test.py,Power brownout analysis,Power brownout retest 2026-06-17,Power brownout retest summary,Closed for documented operating range PWM 80-180: final retest has 30/30 rows with reset=no and Wi-Fi disconnect=no; browser camera observed during test. PWM 255 is documented as outside stable operating range.
Verstapost 3,1,"Integrate motors, cameras, sensors, and UI",+,closed,Done,OK,main UI,main,cam,,,none for integration claim
Verstapost 3,2,Show both camera streams in operator UI,+,closed,Done,OK,main UI,,,,,add current demo video if possible
Verstapost 3,3,Front ToF telemetry in UI,+,closed,Done,OK,main UI,web handlers,tof_accuracy_test.csv,,,calibrate or explain measured offset
Verstapost 3,4,Downward color telemetry,+,closed,Done,OK,camera firmware,main UI,,,,color repeatability rows
Verstapost 3,5,Click/tap-to-drive,+,closed,Complete,Done,main UI,Tap-drive algorithm,Camera calibration and tap-drive plan,Tap-drive accuracy template,Tap-drive accuracy summary,"Closed: timed tap-drive algorithm measured in 5 physical trials; 5/5 pass, median error 20 mm, max error 141.4 mm. Red servo disabled; future improvement is pixel logging/homography calibration."
Verstapost 3,6,Camera calibration,+,closed,Complete,Done,Camera calibration and tap-drive plan,Camera calibration notebook,Executed camera calibration notebook,Homography calibration summary,Camera homography JSON/residuals,Closed: UI CALIB mode used to collect 6 real Cam1 homography points; generated pixel-to-arena JSON with median residual 45.0 mm and max 68.3 mm. Chessboard intrinsics remain optional future precision improvement.
Verstapost 3,7,Boundary/color behavior,+,closed,Complete,Done,Cam2 color firmware,Color repeatability CSV,Color repeatability summary,TCS34725 purchase evidence Order3,Firmware UI screenshots,Closed: Cam2 TCS34725 telemetry measured on red/light/dark surfaces; classifier threshold fixed and flashed; UI confirmed COLOR DARK; purchase and UI screenshot evidence added. Closed-loop color retreat is not claimed.
Verstapost 3,8,Simple autonomous behavior,,partial,Partial,Fix / measure,Auto behavior code,Auto behavior logger,Auto behavior observation,Operator observation CSV,Auto logger UI screenshot,"Partial: auto logger implemented, UI screenshots and video evidence indexed; operator observed turn/avoid at about 200 mm; battery depleted before full 5-trial logger CSV. Need charged robot run to close reliability claim."
Verstapost 4,1,Enclosure/body CAD,+,closed,Done,OK,hardware/cad/ver3,hardware/cad/real,,,,none for CAD evidence
Verstapost 4,2,Real mechanical CAD package,+,closed,Done,OK,hardware/cad/real/README.md,,,,,export final printable files if required
Verstapost 4,3,Functional prototype software,+,closed,Done,OK,main,cam,,,,none
Verstapost 4,4,Color/marked-area sensing,,partial,Partial,Fix / measure,,,,,,repeatability and closed-loop behavior
Verstapost 4,5,Enclosure impact/heat validation,,open,Open,Missing,,,,,,add measured test tables/photos
Verstapost 4,6,Battery service/access validation,,open,Open,Missing,,,,,,add service time measurement
Verstapost 4,7,Repeated match endurance,,open,Open,Missing,,,,,,add `90 s` repeated run log
Verstapost 4,8,Assembly photos,,partial,Partial,Fix / measure,ASSEMBLY_GUIDE.md,docs/assets/photos/README.md,docs/assets/photos/Image (1).jpg,docs/assets/photos/Mutimedia.jpg,docs/assets/photos/PXL_20260613_160049625.jpg,"Partial: fabrication, electronics integration, printed enclosure, and assembled robot photos are indexed. Still add final multi-angle front/back/left/right/top photos for a stronger final package."
Verstapost 5,1,Repository structure and index,+,closed,Done,OK,README.md,docs README,requirements tracker Excel,,,none
Verstapost 5,2,Full milestone traceability,+,closed,Done,OK,requirements tracker Excel,docs index,,,,keep links updated
Verstapost 5,3,Firmware buildability,+,closed,Done,OK,FLASHING_GUIDE.md,main,camera firmware,,,re-validate on all boards before final handover
Verstapost 5,4,CAD/PCB package,+,closed,Done,OK,cad,hardware/cad/real,hardware/pcb/README.md,PRINT_SETTINGS.md,,final material validation and printable export cleanup
Verstapost 5,5,Final limitations documented,+,closed,Done,OK,requirements tracker Excel,VERSTAPOSTID_PLAN.md,,,,none
Verstapost 5,6,Assembly guide,,partial,Partial,Fix / measure,ASSEMBLY_GUIDE.md,docs/assets/photos/README.md,docs/assets/photos/Image (1).jpg,docs/assets/photos/Mutimedia.jpg,docs/assets/photos/PXL_20260613_160049625.jpg,Partial: assembly checklist and photo evidence are present. Still add final multi-angle photos plus battery service and endurance measurements.
Verstapost 5,7,Flashing/setup guide,+,closed,Done,OK,FLASHING_GUIDE.md,,,,,re-check COM ports during final flashing
Verstapost 5,8,Print settings,,partial,Partial,Fix / measure,PRINT_SETTINGS.md,docs/assets/photos/Image.jpg,docs/assets/photos/Image (2).jpg,docs/assets/photos/PXL_20260613_160049625.jpg,docs/assets/photos/README.md,"Partial: printed-part photo evidence is present. Still validate final material-specific heat, impact, battery-service, and endurance results."
Verstapost 5,9,Final integrated measurement analysis,+,closed,Done,OK,test_results_analysis.ipynb,http_latency_analysis.ipynb,,,,update notebook after new tests
Verstapost 5,10,ArUco/global localization,,open,Open,Missing,,,,,,implement or document as future work
